rating,is_recommended,helpfulness,total_feedback_count,submission_time,product_id,brand_name,price_usd,positive_ratio,tone_dark,tone_deep,tone_fair,tone_fairLight,tone_light,tone_lightMedium,tone_medium,tone_mediumTan,tone_notSureST,tone_olive,tone_porcelain,tone_rich,tone_tan,eye_Grey,eye_blue,eye_brown,eye_gray,eye_green,eye_hazel,skin_combination,skin_dry,skin_normal,skin_oily,hair_auburn,hair_black,hair_blonde,hair_brown,hair_brunette,hair_gray,hair_red
5,1.0,1.0,4.0,3/17/2020,P420652,51,24.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5,1.0,1.0,4.0,2/21/2020,P420652,51,24.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0.0,1.0,4.0,2/18/2020,P420652,51,24.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0.0,0.947368026,19.0,2/4/2020,P420652,51,24.0,0.8094485875732266,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,1.0,1.0,5.0,2/1/2020,P420652,51,24.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4,1.0,0.600000024,5.0,1/25/2020,P420652,51,24.0,0.5578858913022596,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
5,1.0,0.777778029,9.0,10/25/2019,P420652,51,24.0,0.6543128759565946,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2,0.0,0.833333015,6.0,7/29/2019,P420652,51,24.0,0.7210570543488701,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,1.0,0.857142985,7.0,6/24/2019,P420652,51,24.0,0.7373504649628064,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5,1.0,0.833333015,6.0,5/5/2019,P420652,51,24.0,0.7210570543488701,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,1.0,0.903226018,31.0,4/18/2019,P420652,51,24.0,0.7083689789427893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0.0,0.8125,32.0,4/12/2019,P420652,51,24.0,0.6287668703841153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,1.0,0.800000012,5.0,12/30/2018,P420652,51,24.0,0.6989700043360187,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0.0,0.800000012,5.0,10/29/2018,P420652,51,24.0,0.6989700043360187,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
5,1.0,0.800000012,5.0,10/24/2018,P420652,51,24.0,0.6989700043360187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
5,1.0,0.885713995,35.0,2/5/2018,P420652,51,24.0,0.6828802379924107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0.0,0.785713971,14.0,2/2/2018,P420652,51,24.0,0.6418955364979173,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5,1.0,0.4375,16.0,1/21/2018,P420652,51,24.0,0.4745387728193468,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,1.0,0.666666985,9.0,7/20/2017,P420652,51,24.0,0.583970804646981,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,1.0,0.879999995,100.0,7/1/2017,P420652,51,24.0,0.6363623472281776,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,1.0,0.75,4.0,6/22/2017,P420652,51,24.0,0.6666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0.0,0.714286029,7.0,10/25/2022,P7880,111,39.0,0.6199062332840658,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,1.0,0.5,6.0,12/13/2021,P7880,111,39.0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0.0,0.888889015,9.0,3/23/2021,P7880,111,39.0,0.7601875334318686,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4,1.0,0.866666973,15.0,1/23/2021,P7880,111,39.0,0.7060702520912807,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0.0,0.315789014,19.0,10/8/2020,P7880,111,39.0,0.4244108945391117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5,1.0,1.0,8.0,4/10/2020,P7880,111,39.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0.0,0.615384996,13.0,2/29/2020,P7880,111,39.0,0.5508231047523734,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
5,1.0,0.777778029,9.0,1/9/2018,P7880,111,39.0,0.6543128759565946,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5,1.0,1.0,5.0,1/30/2017,P7880,111,39.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1.0,0.888889015,18.0,11/26/2016,P7880,111,39.0,0.7205846872952778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
